Duration,Title,Published_date,Views,Likes,Comments,Type
11417.0,FLAVIO RODRIGUES - Amplifica #259,2024-09-26,14007,977,62,Live
27.0,EXPERIÊNCIA MALUCA de GI LANCELLOTTI no ROCK IN RIO,2024-09-24,942,23,0,Short
37.0,ASSIM SÃO os FÃS da VIVI,2024-09-23,1061,21,0,Short
37.0,ESSA TEORIA EXPLODIU a MENTE do BAPTISTA,2024-09-23,3986,186,11,Short
4089.0,GI LANCELLOTTI E VIVI – BREAKCAST #07,2024-09-22,1239,38,8,Live
29.0,A INFLUÊNCIA de CARLINHOS BROWN na CARREIRA da FILHA,2024-09-22,1641,53,0,Short
3576.0,CAROL BIAZIN – BREAKCAST #06,2024-09-21,870,45,3,Live
36.0,O BRASILEIRO é DIFERENCIADO,2024-09-20,2672,59,10,Short
4805.0,CLARA BUARQUE – BREAKCAST #05,2024-09-20,944,49,4,Live
44.0,DE BANDA FUNDO de QUINTAL ao ROCK IN RIO,2024-09-19,4199,173,12,Short
4431.0,TÍLIA – BREAKCAST #04,2024-09-19,887,38,5,Live
49.0,EXISTE PRECONCEITO com O FUNK?,2024-09-18,1616,64,19,Short
47.0,COMO foi LANÇAR CHARLIE BROWN JR,2024-09-17,20113,1308,37,Short
42.0,A NOVA GERAÇÃO de ARTISTAS é PIOR QUE a ANTIGA?,2024-09-16,22475,964,19,Short
60.0,O FILME dos MAMONAS MENTIU?,2024-09-16,13319,727,21,Short
5035.0,PEQUENA LÔ – BREAKCAST #03,2024-09-15,1199,53,20,Live
53.0,A NOVA GERAÇÃO é MAL INFLUENCIADA?,2024-09-14,1646,82,2,Short
4396.0,GIANA  – BREAKCAST #02,2024-09-14,1933,95,4,Live
3884.0,L7NNON – BREAKCAST #01,2024-09-13,1531,98,3,Live
32.0,O ROCK vai VOLTAR ao TOPO?,2024-09-12,29406,1677,109,Short
5035.0,RICK BONADIO - Amplifica #258,2024-09-12,38381,2298,85,Live
39.0,O QUE É ter SUCESSO?,2024-09-11,844,56,0,Short
9240.0,TIÊ - Amplifica #257,2024-09-11,5107,346,16,Live
47.0,OS DESAFIOS da CARREIRA MUSICAL,2024-09-10,4253,170,1,Short
798.0,BASTIDORES dos ACÚSTICOS do ANGRA | ROADVLOG #20,2024-09-08,54653,3175,162,Live
59.0,O VERDADEIRO CUSTO de uma TOUR INTERNACIONAL,2024-09-05,15562,1108,34,Short
56.0,O RAFA ENSINA MÚSICA COREOGRAFANDO,2024-09-04,33655,2704,24,Short
6529.0,THE MÖNIC - Amplifica #256,2024-09-04,8886,532,33,Live
44.0,O MOTIVO QUE DIVIDE o ANGRA,2024-09-03,9463,730,22,Short
12663.0,CRYPTA - Amplifica #255,2024-08-29,116342,7915,468,Live
10446.0,RESTART - AMPLIFICA #254,2024-08-28,15143,764,37,Live
59.0,QUASE FOI um TRAVESTI com o GIANECCHINI,2024-08-28,16736,1114,53,Short
48.0,O PONTO IMPORTANTE do FUSION,2024-08-27,63535,4380,52,Short
51.0,PATRICK MAIA CONTA a HISTÓRIA do GROOVE DA BANANA,2024-08-23,1774,114,2,Short
1909.0,O FUNK ALÉM DA MÚSICA | LABS 018,2024-08-23,3446,245,200,Live
7761.0,(AO VIVO) A BANDA QUE NUNCA SE VIU  -  NO CLUBE DO MINHOCA,2024-08-22,10922,925,45,Live
14253.0,ANDRÉ NIERI - Amplifica #253,2024-08-21,41647,2243,130,Live
60.0,THUNDERBIRD e os MACHADINHAS,2024-08-20,7760,606,14,Short
55.0,PUNK ROCK VS HEAVY METAL,2024-08-19,21132,1922,34,Short
60.0,RAFA FOI PUNK OU NÃO?,2024-08-18,30197,2414,38,Short
60.0,COLDPLAY AGORA é DEATH METAL,2024-08-16,234929,19278,379,Short
2776.0,AMPLIFICA VISITA com MIKE STERN e BANDA,2024-08-13,20511,1568,101,Live
52.0,O ARTISTA TEM um COMPLEXO de PETER PAN,2024-08-13,10689,576,9,Short
53.0,OS SENTIDOS PRESENTES na MÚSICA,2024-08-11,9430,665,9,Short
59.0,AULÃO de TÉCNICAS do MATEUS ASATO,2024-08-10,101509,7092,52,Short
52.0,O MATEUS ASATO também ERRA,2024-08-09,45503,4386,39,Short
60.0,O OUVIDO ABSOLUTO de ROBSON MIGUEL,2024-08-08,24054,2114,49,Short
13476.0,JAYBOO [+ FELIPE FLIP] - AMPLIFICA #252,2024-08-07,5527,361,25,Live
39.0,MÚSICA de KIKO com ALCEU VALENÇA?,2024-08-07,16501,1313,9,Short
1257.0,AULÃO de PARTITURAS  | LABS 017,2024-08-03,3460,177,15,Live
6642.0,DANIEL GONZAGA + ANASTACIA - AMPLIFICA #251,2024-08-01,3973,352,25,Live
59.0,A MÚSICA mais FAMOSA do FUTEBOL,2024-07-31,16891,987,18,Short
11603.0,JEAN PATTON E ANTONIO ARAUJO - AMPLIFICA #250,2024-07-31,36703,2345,136,Live
39.0,A DIFERENÇA ENTRE PUNK e HEAVY METAL,2024-07-30,24160,1950,36,Short
36.0,O PAU mais IMPORTANTE pra MÚSICA,2024-07-29,4156,359,5,Short
36.0,ESTE GUITARRISTA não ERRA,2024-07-28,80731,8037,92,Short
619.0,O que HOUVE com FELIPE ANDREOLI ? (Angra em Macapá e Brasília) | ROADVLOG #19,2024-07-27,42033,2787,184,Live
17.0,O MAIS IMPORTANTE na MÚSICA é...,2024-07-27,64855,4775,100,Short
6070.0,VANESSA MORENO - AMPLIFICA #249,2024-07-27,8914,776,34,Live
51.0,AS CONCESSÕES de UMA NOVA BANDA,2024-07-26,11730,909,5,Short
12759.0,KIKO LOUREIRO - AMPLIFICA #248,2024-07-26,136610,8893,277,Live
44.0,RECADO para BANDAS que QUEREM tocar FORA do BRASIL,2024-07-25,20901,1899,15,Short
12517.0,ANDREAS KISSER + SILAS FERNANDES - AMPLIFICA #247,2024-07-25,95631,6217,1990,Live
48.0,A LONGEVIDADE do ROCK CLÁSSICO,2024-07-24,22732,2392,58,Short
12736.0,DESCRIMINALIZAÇÃO DA M4C0NH4 [EGYPCIO+RODRIGO+YOHAN+BARBIERI],2024-07-24,7768,508,103,Live
33.0,AC/DC + HOMEM de FERRO = PERFEIÇÃO,2024-07-23,30500,2017,100,Short
30.0,ANDADOR do ANGUS YOUNG,2024-07-22,105385,5948,69,Short
60.0,KIKO e ANDREAS de VOLTA ao AMPLIFICA - Ajuntado da Semana,2024-07-22,8575,902,23,Short
35.0,KANSAS vs AC/DC,2024-07-21,85475,7569,356,Short
836.0,ANGRA e SEPULTURA em FORTALEZA | RoadVlog #18,2024-07-20,14862,1098,67,Live
54.0,THUNDERBIRD ama NIRVANA,2024-07-20,28321,2027,65,Short
17.0,SEGURANÇAS no AMPLIFICA,2024-07-19,10245,595,15,Short
32.0,DETONATOR cantando REBIRTH,2024-07-18,42999,3777,134,Short
8279.0,MASSACRATION - AMPLIFICA #246,2024-07-17,90888,6867,214,Live
30.0,OUVINDO RUSH pela PRIMEIRA VEZ,2024-07-17,293562,18261,409,Short
11151.0,LUIZ THUNDERBIRD - AMPLIFICA #245,2024-07-17,31944,1826,57,Live
29.0,TODO MUNDO ODEIA mas O MARCELO BARBOSA GOSTA,2024-07-16,82429,6184,150,Short
23.0,O DESAFIO PERIGOSO dos SHOWS do RAFA,2024-07-15,81914,7195,65,Short
60.0,QUEM não GOSTA de MASSACRATION? AJUNTADO DA SEMANA,2024-07-14,12899,1240,39,Short
33.0,"A ORIGEM da PALAVRA ""STRATO""",2024-07-14,20375,1565,17,Short
38.0,O EXAGERO VISUAL das BANDAS dos ANOS 80,2024-07-13,69428,5384,136,Short
1216.0,BAND COACHING com a MENTAL TRIGGER | LABS 016,2024-07-12,8203,601,55,Live
23.0,O GRUNGE acabou COM a FESTA dos GUITARRISTAS,2024-07-12,29354,2522,97,Short
40.0,"QUEM foi FRANCISCO, EL HOMBRE?",2024-07-11,4423,274,3,Short
45.0,ELE se QUEBROU PULANDO do PALCO,2024-07-10,8107,442,8,Short
15840.0,ESPECIAL GUITARRISTAS [MARCELO BARBOSA + EDU ARDANUY],2024-07-10,99729,6751,393,Live
51.0,QUAL BANDA de ROCK o RAFA PREFERE?,2024-07-09,57262,4922,240,Short
24.0,ROCK INFLUENCIANDO no SERTANEJO,2024-07-08,6233,299,12,Short
60.0,"KIKO LOUREIRO, ARDANUY e BARBOSA nessa SEMANA no AMPLIFICA !!!",2024-07-08,19645,1983,26,Short
31.0,O LADO RUIM das DUPLAS SERTANEJAS,2024-07-07,30793,1656,31,Short
30.0,A QUALIDADE e AFINAÇÃO de PEDRO PAULO e ALEX,2024-07-06,17728,1043,33,Short
1040.0,SHOW do KIKO LOUREIRO e do ZAKK SABBATH no RIO DE JANEIRO | RoadVlog #17,2024-07-05,62728,4366,142,Live
33.0,A ORIGEM do SERTANEJO UNIVERSITÁRIO,2024-07-05,6790,277,26,Short
7219.0,PEDRO PAULO E ALEX (PRECURSORES DO AGRONEJO) - AMPLIFICA #244,2024-07-05,4829,322,19,Live
50.0,A IMPORTÂNCIA de SE VENDER como MÚSICO,2024-07-04,9969,699,7,Short
7406.0,ESTUDANDO PARA O SHOW DO ANGRA - EXTRA AMPLIFICA,2024-07-04,46894,4594,213,Live
32.0,ROUPA NOVA INFLUENCIANDO o GLORIA,2024-07-03,5858,336,2,Short
8338.0,PAULO TATIT (PALAVRA CANTADA) - AMPLIFICA #243,2024-07-03,7115,570,33,Live
23.0,O CONDOMÍNIO mais MUSICAL de SP,2024-07-02,12742,722,31,Short
40.0,AULA sobre SOLO e MELODIA na GUITARRA,2024-07-01,118965,9311,96,Short
48.0,CONVIDADO não PODE TOCAR REBIRTH mais,2024-06-30,37692,3707,40,Short
35.0,TÉCNICAS de VIOLA que VOCÊ NÃO CONHECE,2024-06-29,33480,1892,15,Short
1035.0,BATE PAPO sobre VIOLA e GUITARRA | LABS 015,2024-06-28,5684,442,19,Live
56.0,A DESCRIMINALIZAÇÃO da PAMONHA,2024-06-28,5926,271,74,Short
8766.0,FRANCISCO EL HOMBRE - AMPLIFICA #242,2024-06-28,3761,253,16,Live
41.0,GRANDES REFERÊNCIAS da MÚSICA BRASILEIRA,2024-06-27,21315,1780,68,Short
9985.0,VINI CASTELLARI + IGOR BOLLOS - EM FAMÍLIA #017,2024-06-27,6722,396,16,Live
48.0,NÃO CONHECEM mais O RAFA pelo ANGRA,2024-06-26,269289,26624,665,Short
11399.0,THIAGO KISS - AMPLIFICA #241,2024-06-26,6781,457,16,Live
22.0,A IMPORTÂNCIA de ESTAR no MOMENTO PRESENTE,2024-06-25,6575,446,13,Short
20.0,PARA que SERVE a DIVERSIDADE,2024-06-24,3348,245,10,Short
8785.0,DINO JELUSICK E RASTA - AMPLIFICA #240,2024-06-24,34494,2323,263,Live
55.0,ELOY CASAGRANDE mudou O GLORIA!,2024-06-23,5042,317,5,Short
41.0,O PÚBLICO do ROCK ESTÁ se RENOVANDO...,2024-06-22,11948,1063,49,Short
