Duration,Title,Published_date,Views,Likes,Comments,Type
56.0,O que você acha do Robson de 'Mania de Você?,2024-12-11,852,28,0,Short
2117.0,LÍDER REBELDE SÍRIO QUER PUNIR TORTURADORES DO GOVERNO ASSAD - FLOW NEWS INTERNACIONAL - #43 #FI,2024-12-11,2070,133,5,Short
63.0,Qual é a estratégia de defesa de Jair Bolsonaro?,2024-12-11,2188,81,4,Short
4312.0,"REGULAMENTAÇÃO DA INTELIGÊNCIA ARTIFICIAL NO BRASIL, SENNA NO TOP 10 E MAIS - BOM DIA FLOW #66 #BF",2024-12-11,993,141,9,Live
4533.0,"ANGELA DIPPE - PORTAS ABERTAS, COM CARLOS TRAMONTINA - #72 #PA",2024-12-11,1230,98,3,Live
3717.0,PRESIDENTE FOI SUBMETIDO A CIRURGIA ÀS PRESSAS E SEGUE NA UTI - FLOW NEWS - #389 #FN,2024-12-10,4981,314,4,Live
4374.0,"LULA NA UTI, APÓS CIRURGIA DE EMERGÊNCIA, CHRIS EVANS DE VOLTA AO MCU E MAIS - BOM DIA FLOW #65 #BF",2024-12-10,1920,189,3,Live
3729.0,PUTIN DECIDE CONCEDER ASILO POLÍTICO PARA ASSAD NA RÚSSIA - FLOW NEWS - #388 #FN,2024-12-09,4252,323,8,Live
3969.0,"TRUMP PEDE CESSAR-FOGO NA UCRÂNIA, GLOBO DE OURO, NOTRE-DAME REABERTA E MAIS - BOM DIA FLOW #64 #BF",2024-12-09,1298,151,4,Live
37.0,"Alice Braga, beije Dane Taranha!",2024-12-09,3009,95,1,Short
55.0,Sorria 2: Muito mais que terror de shopping!,2024-12-09,1163,38,0,Short
56.0,Quem aí já assistiu ao filme 'Guerra Civil'?,2024-12-09,819,36,0,Short
52.0,Será que Fernanda Torres tem chance de ganhar um Oscar? 👀,2024-12-09,16584,640,15,Short
50.0,'Emilia Pérez' vai superar 'Ainda Estou Aqui'?,2024-12-09,1234,44,1,Short
44.0,"Por que ""Ainda Estou Aqui"" chamou tanto a atenção?",2024-12-09,847,47,0,Short
47.0,Nem a Lady Gaga salvou Coringa 2? 👀,2024-12-07,3158,86,1,Short
53.0,Tem como defender Coringa: Delírio a Dois? 👀,2024-12-07,728,34,0,Short
25.0,Filme 'Feios' é o pior do ano?,2024-12-07,10578,344,5,Short
55.0,Quem aí não tem saudades de Succession?,2024-12-07,531,27,0,Short
3545.0,OS MELHORES FILMES E SÉRIES DE 2024 - ESPECIAL CCXP - BOM DIA FLOW #BF,2024-12-07,1520,140,7,Short
54.0,O melhor investimento para o futuro é um Funko Pop!,2024-12-07,1096,50,0,Short
27.0,Você já viu o Tony Ramos pelado??,2024-12-07,1147,19,0,Short
52.0,Tarcísio está tentando suavizar sua imagem de radical?,2024-12-07,1001,42,7,Short
64.0,Mulher pode falar de p*utaria sim!,2024-12-07,218,13,0,Short
68.0,"Alfred merece direitos trabalhistas, Batman!",2024-12-07,473,26,1,Short
3678.0,MERCOSUL E UE ANUNCIAM ACORDO DE LIVRE COMÉRCIO APÓS 25 ANOS DE NEGOCIAÇÃO - FLOW NEWS - #387 #FN,2024-12-06,3201,294,6,Live
4357.0,"PRIMO RICO JÁ APOSENTOU O FILHO, STANDS NA CCXP24 E MARATONA NOS STREAMINGS - BOM DIA FLOW #63 #BF",2024-12-06,1218,146,11,Live
23.0,O PIOR FILME DE LOBISOMEN É INOMINÁVEL 😂,2024-12-06,825,29,0,Short
74.0,Mulheres não podem falar sobre temas que dizem respeito a elas?,2024-12-06,516,10,1,Short
33.0,Justiça pelos fãs de terror!,2024-12-06,1160,40,0,Short
60.0,Você se lembra da icônica novela 'Os Mutantes'?,2024-12-06,1791,130,2,Short
64.0,PM agride idosa em SP,2024-12-06,7666,291,42,Short
57.0,Regateta com biqueta é aceitável socialmente?,2024-12-06,604,23,2,Short
59.0,Casos isolados de violência policial?,2024-12-06,590,34,3,Short
4937.0,"O HUMOR ENTRE O LIBEROU-GERAL E O POLITICAMENTE CORRETO, COM FÁBIO RABIN - TRAMONTA NEWS - #63 #TN",2024-12-06,7723,460,11,Live
3901.0,POLICIAL MILITAR QUE JOGOU HOMEM DE PONTE EM SÃO PAULO É PRESO - FLOW NEWS - #386 #FN,2024-12-05,5841,417,26,Live
50.0,A relação entre Adriane Galisteu e a família de Ayrton Senna,2024-12-05,50907,3430,37,Short
60.0,Será que vem série de Adriane Galisteu por aí? 👀,2024-12-05,15660,1637,40,Short
58.0,Marinha publica provocando governo,2024-12-05,2599,148,11,Short
58.0,Doutrinação nas escolas militares?,2024-12-05,705,34,6,Short
32.0,PM joga homem de ponte em SP,2024-12-05,237,7,0,Short
58.0,Chef Diego Lozano foi parado em aeroporto com pó branco,2024-12-05,1963,98,0,Short
3586.0,"MULHERES NA CULTURA POP, COM GIBI DE MENININHA - ESPECIAL CCXP - BOM DIA FLOW #BF",2024-12-05,518,73,5,Short
4977.0,TUDO SOBRE A CCXP24! AS PRINCIPAIS NOTÍCIAS DO DIA E ESTREIAS DO CINEMA  - BOM DIA FLOW #62 #BF,2024-12-05,1409,183,7,Live
5262.0,"CASSIO SCAPIN - CONEXÕES, COM GLORIA VANIQUE - #69 #CX",2024-12-05,650,71,2,Live
3919.0,"AVALIAÇÃO DO GOVERNO LULA É NEGATIVA PARA 90% DO MERCADO, DIZ QUAEST - FLOW NEWS - #385 #FN",2024-12-04,3967,277,11,Live
60.0,Selton Caramello: Concurso de sósias de Selton Mello tem um vencedor,2024-12-04,1344,48,9,Short
60.0,Mulher invadiu uma distribuidora de bebidas com um carro,2024-12-04,285,14,0,Short
58.0,O Brasil sofre com poucas políticas culturais?,2024-12-04,987,65,2,Short
4633.0,"COREIA DO SUL, PRÊMIO MULTISHOW, CORREIOS PODEM FALIR, THE TOWN E MUITO MAIS - BOM DIA FLOW #61 #BF",2024-12-04,938,159,6,Live
3703.0,"ERIBERTO LEÃO - PORTAS ABERTAS, COM CARLOS TRAMONTINA - #71 #PA",2024-12-04,954,91,5,Live
3892.0,VÍDEO FLAGRA PM JOGANDO HOMEM DE PONTE EM SP; 13 POLICIAIS SÃO AFASTADOS - FLOW NEWS - #384 #FN,2024-12-03,3602,281,7,Live
60.0,O carro da Williams prejudicou Ayrton Senna?,2024-12-03,64938,4566,24,Short
3988.0,"GALISTEU FALA SOBRE SENNA, AÇÕES POLICIAIS, BOB ESPONJA A EXPERIÊNCIA E MAIS - BOM DIA FLOW #60 #BF",2024-12-03,1702,192,9,Live
3741.0,"DE LICENÇA MÉDICA, GOVERNADOR DE SERGIPE VAI À FINAL DA LIBERTADORES - FLOW NEWS - #383 #FN",2024-12-02,3092,278,9,Live
5185.0,"BOTAFOGO CAMPEÃO DA LIBERTADORES, PEC DAS PRAIAS, BASTIDORES DE SENNA E MAIS - BOM DIA FLOW #59 #BF",2024-12-02,1136,136,3,Live
49.0,Dane Taranha está devendo R$ 100 para o Flow,2024-12-02,664,26,0,Short
60.0,Ayrton Senna foi mais feliz com Adriane Galisteu?,2024-12-02,703547,51232,394,Short
60.0,Foram generais que impediram a tentativa de golpe de Estado?,2024-12-02,437,13,2,Short
51.0,"Corinthians faz ""vaquinha"" para quitar Neo Química Arena 🏟",2024-12-02,1356,70,4,Short
59.0,Por que o golpe não aconteceu?,2024-12-02,869,39,1,Short
58.0,O Brasil não vive uma sociedade democrática?,2024-12-02,562,30,0,Short
60.0,ESTR*P4DOR NÃO É PAI,2024-12-02,889,37,6,Short
3824.0,DÓLAR FECHA ACIMA DOS R$ 6 PELA PRIMEIRA VEZ NA HISTÓRIA - FLOW NEWS - #382 #FN,2024-11-29,2735,253,6,Live
60.0,CCJ da Câmara aprova PEC que pode proibir aborto legal no Brasil,2024-11-29,832,33,2,Short
60.0,E se o golpe tivesse dado certo?,2024-11-29,974,46,8,Short
5221.0,"BOLSONARO QUER ANISTIA, DATENA SAI DA BAND, MARATONA NOS STREAMINGS E MAIS - BOM DIA FLOW #58 #BF",2024-11-29,1642,160,7,Live
7080.0,"CORRUPÇÃO E CONTRADIÇÕES NAS FORÇAS ARMADAS, COM RUBENS PIERROTTI - TRAMONTA NEWS - #62 #TN",2024-11-29,12674,813,131,Live
4511.0,ISENÇÃO DO IR ATÉ R$ 5 MIL BENEFICIARÁ 36 MILHÕES DE CONTRIBUINTES - FLOW NEWS - #381 #FN,2024-11-28,6348,428,7,Live
60.0,Caçando Gabriel Leone,2024-11-28,734,25,0,Short
59.0,Tolerância com o golpismo?,2024-11-28,770,39,7,Short
38.0,"""Bolsonaro não fez nada que ele não tenha dito que iria fazer""",2024-11-28,3603,134,6,Short
60.0,A tentativa de golpe de Estado está sendo banalizada?,2024-11-28,916,35,1,Short
4741.0,"ISENÇÃO DO IMPOSTO DE RENDA, ABORTO LEGAL, SÓSIAS DE SELTON MELLO, ESTREIAS - BOM DIA FLOW #57 #BF",2024-11-28,1165,162,13,Live
4639.0,"DIEGO LOZANO - CONEXÕES, COM GLORIA VANIQUE - #68 #CX",2024-11-28,4730,341,16,Live
4285.0,"PARANÁ PESQUISAS: INELEGÍVEL, BOLSONARO APARECE À FRENTE DE LULA PARA 2026 - FLOW NEWS - #380 #FN",2024-11-27,4793,303,12,Live
13.0,"Dança, gatinha, dança 💃",2024-11-27,590,21,2,Short
53.0,Lula impede o surgimento de uma nova liderança na esquerda?,2024-11-27,817,25,1,Short
4589.0,"BOLSONARO SABIA DO GOLPE, CESSAR-FOGO DE ISRAEL, BRASILEIRÃO E MAIS - BOM DIA FLOW #56 #BF",2024-11-27,1260,163,6,Live
54.0,Carrefour divulga nota de retratação,2024-11-27,2278,117,2,Short
4375.0,"ANTONIO FAGUNDES - PORTAS ABERTAS, COM CARLOS TRAMONTINA - #70 #PA",2024-11-27,8960,710,29,Live
3915.0,"CARREFOUR PUBLICA CARTA E DESTACA A ""GRANDE QUALIDADE DA CARNE BRASILEIRA"" - FLOW NEWS - #379 #FN",2024-11-26,3388,279,4,Live
57.0,Frejat x Lenny Kravitz: Quem é o maior?,2024-11-26,10682,802,80,Short
60.0,Tarcísio de Freitas lamenta a morte de estudante de medicina baleado por PM,2024-11-26,1767,37,0,Short
4615.0,"BOLSONARO, LULA E AS TENTATIVAS DE ASSASSINATO, CARREFOUR E AS CARNES E MAIS  - BOM DIA FLOW #55 #BF",2024-11-26,1519,161,11,Live
46.0,"Wagner Moura, dá uma chance pro #BomDiaFlow?",2024-11-25,647,29,1,Short
3785.0,FRIGORÍFICOS BRASILEIROS BOICOTAM CARREFOUR; MINISTRO DA AGRICULTURA APROVA - FLOW NEWS - #378 #FN,2024-11-25,4085,397,6,Live
59.0,As pessoas precisam ter uma religião?,2024-11-25,1118,99,1,Short
60.0,Frejat se pronuncia após ter som cortado em show de Lenny Kravitz 🎤🚫,2024-11-25,2604,115,4,Short
50.0,"Bolsonaro sabia de plano para matar Lula, Alckmin e Moraes?",2024-11-25,3883,137,14,Short
4470.0,"NUNES E OS CEMITÉRIOS, PRESIDENTE DO URUGUAI, LEILA PEREIRA, KENDRICK LAMAR - BOM DIA FLOW #54 #BF",2024-11-25,1288,173,7,Live
4234.0,BOLSONARO NEGA PARTICIPAÇÃO EM PLANO PARA MATAR LULA E MORAES - FLOW NEWS - #377 #FN,2024-11-22,7196,470,11,Live
60.0,O dia em que Jean Wyllys cuspiu em Bolsonaro,2024-11-22,1218,37,5,Short
55.0,"Após ser indiciado, qual é a estratégia de Bolsonaro?",2024-11-22,1720,65,1,Short
58.0,O que é felicidade?,2024-11-22,906,87,1,Short
55.0,"Johnny Hooker sobre Fernanda Torres: ""Chances nulas""",2024-11-22,1903,64,4,Short
60.0,Flávio Bolsonaro faz críticas a operação da PF,2024-11-22,1290,59,1,Short
60.0,Tentativa de golpe de Estado,2024-11-22,925,44,7,Short
4211.0,"BOLSONARO INDICIADO, ARIANA GRANDE, CYNTHIA ERIVO E AS ESTREIAS NO STREAMING - BOM DIA FLOW #53 #BF",2024-11-22,1485,173,8,Live
5045.0,"OS RUMOS E AS CONTRADIÇÕES DA ESQUERDA, COM JEAN WYLLYS - TRAMONTA NEWS - #61 #TN",2024-11-22,4437,320,85,Live
4486.0,"DE ACORDO COM INQUÉRITO, BOLSONARO SABIA DO PLANO PARA MATAR LULA E MORAES - FLOW NEWS - #376 #FN",2024-11-21,9167,633,11,Live
59.0,Quando a entrevista não vai bem... 🫠,2024-11-21,1435,52,0,Short
59.0,Qual é o papel da filosofia?,2024-11-21,2374,128,2,Short
58.0,Queremos Fernanda Torres no Oscar!!!,2024-11-21,622,51,2,Short
60.0,Alunos da PUC são demitidos,2024-11-21,617,37,0,Short
60.0,A Argentina no G20,2024-11-21,1492,63,2,Short
59.0,O primeiro encontro de Lula e Milei no G20,2024-11-21,1857,82,0,Short
4196.0,"PLANO DO GOLPE? VELÓRIO DE LIAM PAYNE, ESTREIAS NO CINEMA, COACHELLA E MAIS - BOM DIA FLOW #52 #BF",2024-11-21,1510,199,6,Live
3839.0,"MARIO SERGIO CORTELLA - PORTAS ABERTAS, COM CARLOS TRAMONTINA - #69 #PA",2024-11-20,19524,1350,45,Live
3551.0,"PF FAZ OPERAÇÃO CONTRA SUSPEITOS DE PLANO PARA MATAR LULA, ALCKMIN E MORAES - FLOW NEWS - #375 #FN",2024-11-19,6136,534,15,Short
56.0,A primeira entrevista de Maria Cândida com Arnold Schwarzenegger!,2024-11-19,2059,126,0,Short
60.0,Sobre a necessidade de afeto,2024-11-19,478,28,0,Short
59.0,O ser humano está passando dos limites e esquecendo a empatia?,2024-11-19,780,28,3,Short
59.0,Explosões em Brasília!,2024-11-19,466,14,0,Short
56.0,O dia em que Maria Cândida perdeu a chance com Richard Gere 😱,2024-11-19,2641,114,4,Short
55.0,O Brasil tem um projeto nacional?,2024-11-19,584,28,0,Short
57.0,A história por trás do famoso vídeo sobre brio de Clóvis de Barros Filho!,2024-11-19,789,49,0,Short
55.0,A importância do amor materno no desenvolvimento infantil,2024-11-19,291,32,0,Short
58.0,Mau presságio? Fim do mundo? 🐟,2024-11-19,1201,73,1,Short
4671.0,"G20 NO BRASIL, NUDEZ CENSURADA, FERNANDA TORRES NO OSCAR  E MUITO MAIS - BOM DIA FLOW #51 #BF",2024-11-19,1317,184,2,Live
55.0,Jout Jout is back ✨️,2024-11-19,6477,304,8,Short
3810.0,BRASIL NÃO FAZ CONCESSÕES NO ACORDO DO G20 E ARGENTINA CEDE A CONTRAGOSTO - FLOW NEWS - #374 #FN,2024-11-18,3440,337,7,Live
58.0,Onde você se sente seguro e valorizado?,2024-11-18,672,58,0,Short
60.0,O Brasil está contaminado pelo crime organizado?,2024-11-18,954,106,2,Short
56.0,"Wagner Moura, é você?",2024-11-18,806,28,0,Short
60.0,Caso Ryan: Quando o confronto policial é válido?,2024-11-18,784,34,2,Short
58.0,Ross Marquand fala sobre a morte de Glenn em The Walking Dead,2024-11-18,625,27,0,Short
59.0,Ricardo Nunes faz harmonização facial,2024-11-18,556,22,0,Short
4159.0,"JANJA XINGA ELON MUSK, BIDEN NA AMAZÔNIA, LUTAS, BEYONCE NA NETFLIX E MAIS - BOM DIA FLOW #50 #BF",2024-11-18,1814,193,5,Live
6941.0,A FILOSOFIA AINDA SERVE PARA ALGUMA COISA? COM CLÓVIS DE BARROS - TRAMONTA NEWS - #60 #TN,2024-11-15,32477,2481,92,Live
3473.0,"INDICAÇÕES, GUERRAS, AMÉRICA LATINA: O QUE ESPERAR DO NOVO GOVERNO TRUMP? - FLOW NEWS - #373 #FN",2024-11-14,2969,218,9,Short
5276.0,"EXPLOSÕES EM BRASÍLIA, G20 NO RIO, ESTREIAS NO CINEMA E STREAMING  E MAIS - BOM DIA FLOW #49 #BF",2024-11-14,2908,213,6,Live
5191.0,"MARIA CÂNDIDA - CONEXÕES, COM GLORIA VANIQUE - #67 #CX",2024-11-14,973,91,0,Live
3864.0,ERIKA HILTON CONSEGUE APOIO PARA PROTOCOLAR TEXTO DA PEC CONTRA JORNADA 6X1 - FLOW NEWS - #372 #FN,2024-11-13,2941,271,12,Live
1887.0,"À PROCURA DE ALIADOS, TRUMP DÁ CARGO A MUSK EM NOVO GOVERNO - FLOW NEWS INTERNACIONAL - #42 #FI",2024-11-13,734,62,1,Short
4504.0,"MUSK NO GOVERNO TRUMP, ESCOLA SEM CELULAR, YELLOWSTONE E KEVIN COSTNER E MAIS - BOM DIA FLOW #48 #BF",2024-11-13,1554,173,6,Live
56.0,ABERTURA DE X-MEN É UM PLÁGIO?,2024-11-13,2986,304,0,Short
5239.0,"MARCOS PIANGERS - PORTAS ABERTAS, COM CARLOS TRAMONTINA - #68 #PA",2024-11-13,1178,109,5,Live
3751.0,PEC QUE REDUZ A JORNADA 6X1 GANHA FORÇA NA CÂMARA; ALCKMIN DEFENDE TEXTO - FLOW NEWS - #371 #FN,2024-11-12,2998,286,10,Live
52.0,Não basta a eleição brasileira 💥,2024-11-12,658,18,1,Short
59.0,A amizade entre Dane Taranha e Eli Roth 🫶🏻✨️,2024-11-12,508,18,0,Short
4131.0,"FIM DA ESCALADA 6X1!? MEGA DA VIRADA, NOVO DUMBLEDORE E MUITO MAIS - BOM DIA FLOW #47 #BF",2024-11-12,1252,185,5,Live
3789.0,BRIGA DAS TORCIDAS NA FINAL DA COPA BR: FOTÓGRAFO ATINGIDO PASSA POR CIRURGIA - FLOW NEWS - #370 #FN,2024-11-11,2376,231,3,Live
53.0,Efeito Trump,2024-11-11,4153,270,2,Short
60.0,DEMOCRACIA BRASILEIRA EM RISCO?,2024-11-11,1006,48,3,Short
59.0,🚨 ATENÇÃO: O ENEM DO OASIS VEM AÍ 🗣,2024-11-11,371,17,0,Short
56.0,Indignação seletiva?,2024-11-11,656,40,1,Short
60.0,Processou o Tinder!,2024-11-11,198,6,0,Short
3988.0,"ESCALADA NA GUERRA NA UCRÂNIA, D23 BRASIL, BONECAS WICKED E COPA DO BRASIL - BOM DIA FLOW #46 #BF",2024-11-11,1393,178,7,Live
3947.0,RICARDO NUNES FAZ HARMONIZAÇÃO FACIAL; VEJA FOTOS - FLOW NEWS - #369 #FN,2024-11-08,3038,252,5,Live
1845.0,"PRESIDENTE RUSSO QUER CONVERSAR COM TRUMP, MAS NOS PRÓPRIOS TERMOS - FLOW NEWS INTERNACIONAL #41 #FI",2024-11-08,1689,111,2,Short
59.0,Kamala Harris é uma líder fraca?,2024-11-08,1202,77,4,Short
6362.0,"ENTREVISTA COM ROSS MARQUAND, DE WALKING DEAD, RICARDO NUNES HARMONIZADO - BOM DIA FLOW #45 #BF",2024-11-08,1191,163,6,Live
5306.0,"UM (ESTRANHO) PAÍS CHAMADO BRASIL, COM MARCO ANTONIO VILLA - TRAMONTA NEWS - #59 #TN",2024-11-08,42047,2888,195,Live
3967.0,BOLSONARO QUER PASSAPORTE PARA IR À POSSE DE TRUMP; DECISÃO CABE AO STF - FLOW NEWS - #368 #FN,2024-11-07,7950,403,7,Live
4302.0,"O EFEITO TRUMP PARA BOLSONARO, SABRINA SATO PERDE BEBÊ E BRASILEIRO NA F1 - BOM DIA FLOW #44 #BF",2024-11-07,1692,188,5,Live
4479.0,"SILVIA HENZ - CONEXÕES, COM GLORIA VANIQUE - #66 #CX",2024-11-07,1165,62,1,Live
3846.0,"PROTECIONISMO COMERCIAL, DEPORTAÇÃO, ISOLACIONISMO: O QUE TRUMP PROMETE? - FLOW NEWS - #367 #FN",2024-11-06,4610,335,15,Live
1740.0,"TRUMP PROMETE ""ERA DE OURO""; REPUBLICANOS SÃO MAIORIA NO SENADO - FLOW NEWS INTERNACIONAL - #40 #FI",2024-11-06,1856,110,1,Short
60.0,Por que Neymar continua se lesionando?,2024-11-06,1861,110,11,Short
60.0,Qual palavra PRECISA estar no dicionário?,2024-11-06,484,16,0,Short
60.0,Insegurança constante,2024-11-06,689,37,0,Short
4260.0,"TRUMP ELEITO, CASO DA CABEÇA DE PORCO NO DERBY E OASIS NO BRASIL E MUITO MAIS - BOM DIA FLOW #43 #BF",2024-11-06,2768,261,8,Live
3382.0,"HENRY FREITAS - PORTAS ABERTAS, COM CARLOS TRAMONTINA - #67 #PA",2024-11-05,920,71,3,Short
4109.0,APURAÇÃO COMEÇOU NOS EUA; VEJA PROPOSTAS DE KAMALA E TRUMP EM TEMAS-CHAVE - FLOW NEWS - #366 #FN,2024-11-05,11540,518,8,Live
60.0,A PEC da segurança vai avançar?,2024-11-05,835,54,4,Short
56.0,Tragam o CPF de Bruno Márcio agora!,2024-11-05,603,35,2,Short
4047.0,"ELEIÇÃO AMERICANA CHEGA NO ""DIA D"", TRETAS E GOLS NO FUTEBOL E MAIS - BOM DIA FLOW #42 #BF",2024-11-05,2184,190,3,Live
3588.0,ELEITORES DECIDEM PRÓXIMO PRESIDENTE DOS EUA EM DISPUTA ACIRRADA - FLOW NEWS - #365 #FN,2024-11-04,5939,404,2,Short
59.0,E se Trump vencer?,2024-11-04,9217,616,28,Short
58.0,Tem que ter doce ruim pra criança mal-educada?,2024-11-04,738,47,2,Short
59.0,A Terceira Guerra Mundial vem aí?,2024-11-04,4373,400,11,Short
4098.0,"HADDAD EM CRISE, ENEM, FÓRMULA 1, COPA DO BRASL, MORRE QUINCY JONES E MAIS - BOM DIA FLOW #41 #BF",2024-11-04,1581,219,5,Live
58.0,Assassinos de Marielle e Anderson são condenados,2024-11-04,2342,228,9,Short
3565.0,MULHER DO FUNKEIRO MC POZE DO RODO É ALVO DE OPERAÇÃO DA POLÍCIA DO RJ - FLOW NEWS - #364 #FN,2024-11-01,2659,258,9,Short
